"A1";"https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg";"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
"ABC";"https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg";"Layered in a shot glass."
"Ace";"https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg";"Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass."
"Adam";"https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg";"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
"AT&T";"https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg";"Pour Vodka and Gin over ice, add Tonic and Stir"
"ACID";"https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg";"Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser."
"A. J.";"https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg";"Shake ingredients with ice, strain into a cocktail glass, and serve."
"Affair";"https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg";"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
"Apello";"https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg";"Stirr. Grnish with maraschino cherry."
"Avalon";"https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg";"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
"Abilene";"https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg";"Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well."
"Almeria";"https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg";"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
"Addison";"https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg";"Shake together all the ingredients and strain into a cold glass."
"Acapulco";"https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg";"Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve."
"Affinity";"https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg";"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
"Applecar";"https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg";"Shake all ingredients with ice, strain into a cocktail glass, and serve."
"Aviation";"https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg";"Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry."
"Alexander";"https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg";"Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve."
"Algonquin";"https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg";"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
"Allegheny";"https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg";"Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve."
"Artillery";"https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg";"Stir all ingredients with ice, strain into a cocktail glass, and serve."
"Afterglow";"https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg";"Mix. Serve over ice."
"Autodafé";"https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg";"Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day."
"Afternoon";"https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg";"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
"After sex";"https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg";"Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar"
"B-53";"https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg";"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
"B-52";"https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg";"Layer ingredients into a shot glass. Serve with a stirrer."
"Bijou";"https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg";"Stir in mixing glass with ice and strain
"
"Boxcar";"https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg";"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
"Big Red";"https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg";"Pour ingredients into 1 ounce shot glass"
